,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,005860,한일사료,"1,875","70","3.9","1,800","1,875","1,780","1,311,784","2,405,978,710","73,881,909,375","0.03","39,403,685"
,005990,매일홀딩스,"8,450","-70","-0.8","8,510","8,550","8,370","14,927","125,856,740","115,919,668,800","0.04","13,718,304"
,006050,국영지앤엠,"2,400","-35","-1.4","2,410","2,450","2,370","765,330","1,835,173,775","83,748,583,200","0.03","34,895,243"
,006140,피제이전자,"4,625","-70","-1.5","4,690","4,690","4,600","26,104","120,728,095","69,375,000,000","0.02","15,000,000"
,006580,대양제지,"2,800","-55","-1.9","2,855","2,855","2,745","173,217","485,449,335","75,180,000,000","0.03","26,850,000"
,006620,동구바이오제약,"26,000","-2,000","-7.1","28,800","29,650","26,000","790,874","22,013,729,400","249,704,000,000","0.09","9,604,000"
,006730,서부T&D,"7,250","90","1.3","7,170","7,480","7,060","906,272","6,626,266,880","421,518,219,000","0.14","58,140,444"
,006910,보성파워텍,"1,820","-35","-1.9","1,830","1,890","1,815","634,693","1,169,121,670","83,852,967,380","0.03","46,073,059"
,006920,모헨즈,"4,775","475","11.0","4,600","5,050","4,300","6,042,468","28,810,368,420","52,143,000,000","0.02","10,920,000"
,007330,푸른저축은행,"7,830","60","0.8","7,780","7,860","7,770","8,992","70,299,790","118,098,324,000","0.04","15,082,800"
,007370,진양제약,"7,740","110","1.4","7,670","8,020","7,310","2,912,558","22,641,043,400","92,880,000,000","0.03","12,000,000"
,007390,네이처셀,"9,260","-160","-1.7","9,330","9,420","9,170","966,819","8,966,063,680","566,623,094,740","0.19","61,190,399"
,007530,영신금속,"1,805","20","1.1","1,780","1,805","1,740","153,002","271,605,720","23,163,507,240","0.01","12,832,968"
,007680,대원,"8,550","30","0.4","8,410","8,600","8,400","8,340","71,018,560","99,074,236,500","0.03","11,587,630"
